Nome,Qtd empresas,Estado,Codigo
Castro,4,PR,410490
Aquidauana,4,MS,500110
Jeremoabo,4,BA,291810
Jussara,4,GO,521220
Limoeiro Do Norte,4,CE,230760
Dobrada,4,SP,351400
Ipiranga Do Norte,4,MT,510452
Claudia,4,MT,510305
Ribeirao Bonito,4,SP,354290
Dourado,4,SP,351430
Ibiuna,4,SP,351970
Itaquirai,4,MS,500460
Teodoro Sampaio,4,SP,355430
Bom Jardim,4,RJ,330050
Pirangi,4,SP,353900
Guarabira,4,PB,250630
Itapejara D'Oeste,4,PR,411120
Trombudo Central,4,SC,421860
Eusebio,4,CE,230428
Cedral,4,SP,351130
Esperantina,4,PI,220370
Belo Oriente,4,MG,310630
Campos Gerais,4,MG,311160
Cabo Verde,4,MG,310950
Monte Siao,4,MG,314340
Cajati,4,SP,350925
Nova Esperanca,4,PR,411690
Campina Das Missoes,4,RS,430370
Redencao,4,PA,150613
Biritiba-Mirim,4,SP,350660
Rio Branco Do Sul,4,PR,412220
Santa Rita,4,PB,251370
Arenapolis,4,MT,510130
Nova Ubirata,4,MT,510624
Brejo Santo,4,CE,230250
Sao Jose Do Rio Claro,4,MT,510730
Sao Mateus Do Sul,4,PR,412560
Jarinu,4,SP,352520
Santa Fe,4,PR,412340
Paraiso Do Tocantins,4,TO,171610
Extrema,4,MG,312510
Santa Helena,4,PR,412350
Escada,4,PE,260520
Barcarena,4,PA,150130
Carambei,4,PR,410465
Parobe,4,RS,431405
Coronel Freitas,4,SC,420440
Barra Do Pirai,4,RJ,330030
Itapipoca,4,CE,230640
Presidente Bernardes,4,MG,315310
Abreu E Lima,4,PE,260005
Salto De Pirapora,4,SP,354530
Valentim Gentil,4,SP,355610
Americo Brasiliense,4,SP,350170
Itacare,4,BA,291490
Piumhi,4,MG,315150
Vianopolis,4,GO,522200
Rondon,4,PR,412260
Madre De Deus,4,BA,291992
Santa Terezinha De Goias,3,GO,521970
Pintadas,3,BA,292465
Sao Simao,3,SP,355090
Mateus Leme,3,MG,314070
Matriz De Camaragibe,3,AL,270510
Brasilandia,3,MS,500230
Morada Nova,3,CE,230870
Castelo Do Piaui,3,PI,220260
Nanuque,3,MG,314430
Baixo Guandu,3,ES,320080
Anta Gorda,3,RS,430070
Mantenopolis,3,ES,320330
Pinhao,3,PR,411930
Deodapolis,3,MS,500345
Jaragua,3,GO,521180
Chapadinha,3,MA,210320
Charqueadas,3,RS,430535
Nova Bassano,3,RS,431290
Sao Joao Batista,3,SC,421630
Goiandira,3,GO,520850
Rio Bananal,3,ES,320435
Santo Antonio Do Monte,3,MG,316040
Queluz,3,SP,354190
Santa Helena De Goias,3,GO,521930
Mirante Do Paranapanema,3,SP,353020
Campo Do Brito,3,SE,280100
Formoso,3,GO,520810
Mandirituba,3,PR,411430
Capitao Leonidas Marques,3,PR,410460
Sanclerlandia,3,GO,521900
Santa Maria Da Vitoria,3,BA,292810
Paraopeba,3,MG,314740
Uniao Dos Palmares,3,AL,270930
Resende Costa,3,MG,315420
Harmonia,3,RS,430955
Morro Do Chapeu,3,BA,292170
Piripiri,3,PI,220840
Luz,3,MG,313880
Pesqueira,3,PE,261090
Itaja,3,GO,521080
Nova Russas,3,CE,230930
Posse,3,GO,521830
Caxambu,3,MG,311550
Brasopolis,3,MG,
Lambari D'Oeste,3,MT,510523
Afogados Da Ingazeira,3,PE,260010
Santo Augusto,3,RS,431780
Novo Gama,3,GO,521523
Vila Valerio,3,ES,320517
Piranguinho,3,MG,315100
Cocal Do Sul,3,SC,420425
Viradouro,3,SP,355680
Terezopolis De Goias,3,GO,522119
Santo Antonio Da Patrulha,3,RS,431760
Presidente Epitacio,3,SP,354130
Palmeira,3,PR,411770
Esmeraldas,3,MG,312410
Canavieiras,3,BA,290630
Pilar Do Sul,3,SP,353790
Jardim,3,MS,500500
Pedralva,3,MG,314910
Carmo,3,RJ,330120
Uruana,3,GO,522170
Granja,3,CE,230470
Nova America,3,GO,521470
Tenente Portela,3,RS,432140
Itapura,3,SP,352300
Torres,3,RS,432150
Aripuana,3,MT,510140
Inocencia,3,MS,500440
Valente,3,BA,293300
Bituruna,3,PR,410290
Sao Gabriel Do Oeste,3,MS,500769
Aguas De Lindoia,3,SP,350050
Rodeiro,3,MG,315630
Cantagalo,3,PR,410445
Palmitos,3,SC,421210
Apiai,3,SP,350270
Ibirama,3,SC,420690
Mamanguape,3,PB,250890
Ibirarema,3,SP,351950
Nova Era,3,MG,314470
Correia Pinto,3,SC,420455
Coronel Vivida,3,PR,410650
Manacapuru,3,AM,130250
Assu,3,RN,
Tucano,3,BA,293190
Itapui,3,SP,352290
Penedo,3,AL,270670
Loanda,3,PR,411350
Nova Granada,3,SP,353300
Sao Jeronimo Da Serra,3,PR,412470
Amambai,3,MS,500060
Manhumirim,3,MG,313950
Ajuricaba,3,RS,430020
Itaucu,3,GO,521140
Sao Francisco Do Conde,3,BA,292920
Colinas Do Tocantins,3,TO,170550
Sao Martinho,3,RS,431910
Sape,3,PB,251530
Maquine,3,RS,431177
Itapagipe,3,MG,313340
Agua Clara,3,MS,500020
Ibaiti,3,PR,410970
Sao Pedro Do Ivai,3,PR,412580
Abadia De Goias,3,GO,520005
Iaciara,3,GO,520990
Otacilio Costa,3,SC,421175
Marcelandia,3,MT,510558
Ribeirao Claro,3,PR,412180
Tapiratiba,3,SP,355360
Itapoa,3,SC,420845
Taio,3,SC,421780
Aguas Formosas,3,MG,310090
Monte Alegre,3,PA,150480
Estrela,3,RS,430780
Miguel Calmon,3,BA,292120
Guimarania,3,MG,312890
Vazante,3,MG,317100
Carmo Do Paranaiba,3,MG,311430
Campos Belos,3,GO,520490
Bonfinopolis De Minas,3,MG,310820
Itapemirim,3,ES,320280
Machadinho,3,RS,431170
Dois Lajeados,3,RS,430645
Coxim,3,MS,500330
Nova Alvorada Do Sul,3,MS,500600
Ferros,3,MG,312590
Miguelopolis,3,SP,352970
Bela Vista De Minas,3,MG,310600
Codo,3,MA,210330
Uaua,3,BA,293200
Bela Vista,3,MS,500210
Vera,3,MT,510850
Lajedo,3,PE,260880
Varjao De Minas,3,MG,317075
Aracati,3,CE,230110
Aurea,3,RS,430155
Alto Jequitiba,3,MG,315350
Coracao De Maria,3,BA,290890
Capela Do Alto,3,SP,351030
Cerro Largo,3,RS,430520
Tres Palmeiras,3,RS,432185
Alto Garcas,3,MT,510040
Divinolandia,3,SP,351390
Tupandi,3,RS,432225
Iacanga,3,SP,351910
Itaocara,3,RJ,330210
Teixeiras,3,MG,316850
Iepe,3,SP,351990
Alvares Machado,3,SP,350130
Ubaporanga,3,MG,317005
Jacupiranga,3,SP,352460
Itapiranga,3,SC,420840
Dionisio Cerqueira,3,SC,420500
Anastacio,3,MS,500070
Guajara-Mirim,3,RO,110010
Tucunduva,3,RS,432210
Seberi,3,RS,432020
Angelica,3,MS,500085
Florida Paulista,3,SP,351600
Jaguare,3,ES,320305
Araci,3,BA,290210
Terra Roxa,3,PR,412740
Sao Jose Da Lapa,3,MG,316295
Nuporanga,3,SP,353360
Pomerode,3,SC,421320
Rosana,3,SP,354425
Faxinal,3,PR,410760
Pirai Do Sul,3,PR,411940
Santa Adelia,3,SP,354560
Piracanjuba,3,GO,521710
Lapa,3,PR,411320
Vila Rica,3,MT,510860
Canapolis,3,MG,311180
Nova Maringa,3,MT,510890
Estancia Velha,3,RS,430760
Salvador Do Sul,3,RS,431650
Bananal,3,SP,350490
Abelardo Luz,3,SC,420010
Tabatinga,3,SP,355270
Itatiaia,3,RJ,330225
Tunapolis,3,SC,421875
Sao Miguel Do Guapore,3,RO,110032
Promissao,3,SP,354160
Sao Vendelino,3,RS,431975
Ibatiba,3,ES,320245
Maximiliano De Almeida,3,RS,431220
Boca Do Acre,3,AM,130070
Emilianopolis,3,SP,351512
Bonopolis,3,GO,520357
Sidrolandia,3,MS,500790
Jaguaribe,3,CE,230690
Palmitinho,3,RS,431380
Prudentopolis,3,PR,412060
Irani,3,SC,420780
Bayeux,3,PB,250180
Santa Cruz Das Palmeiras,3,SP,354630
Nova Alvorada,3,RS,431275
Nova Santa Rita,3,RS,431337
Capinopolis,3,MG,311260
Sao Domingos Do Sul,3,RS,431805
Goianira,3,GO,520880
Cambui,3,MG,311060
Presidente Getulio,3,SC,421400
Nova Luzitania,3,SP,353330
Ouro Preto,3,MG,314610
Planalto,3,PR,411980
Coracao De Jesus,3,MG,311880
Almenara,3,MG,310170
Sena Madureira,3,AC,120050
Rosario,3,MA,210960
Quirinopolis,3,GO,521850
Guarei,3,SP,351850
Oriximina,3,PA,150530
Parintins,3,AM,130340
Santana Do Manhuacu,3,MG,315890
Barra Do Corda,3,MA,210160
Sao Joao Dos Patos,3,MA,211110
Miracema Do Tocantins,3,TO,171320
Carneirinho,3,MG,311455
Ilha Grande,2,PI,220465
Pariquera-Acu,2,SP,353620
Macatuba,2,SP,352800
Goianinha,2,RN,240420
Jaguaruana,2,CE,230700
Simao Dias,2,SE,280710
Marata,2,RS,431179
Orizona,2,GO,521530
Correntina,2,BA,290930
Vidal Ramos,2,SC,421920
Mirabela,2,MG,314200
Rio Paranaiba,2,MG,315550
Conchas,2,SP,351230
Itatinga,2,SP,352350
Barra,2,BA,290270
Queimadas,2,BA,292580
Paulistana,2,PI,220780
Urucui,2,PI,221120
Conceicao,2,PB,250440
Poloni,2,SP,353990
Paim Filho,2,RS,431360
Areiopolis,2,SP,350360
Salto Do Jacui,2,RS,431645
Xinguara,2,PA,150840
Joao Alfredo,2,PE,260810
Mucum,2,RS,431260
Caninde,2,CE,230280
Paranatinga,2,MT,510630
Juti,2,MS,500515
Sao Joao Nepomuceno,2,MG,316290
Cana Verde,2,MG,311190
Fortaleza Dos Valos,2,RS,430845
Rorainopolis,2,RR,140047
Placido De Castro,2,AC,120038
Dois Corregos,2,SP,351410
Medeiros Neto,2,BA,292110
Barbalha,2,CE,230190
Barras,2,PI,220120
Nobres,2,MT,510590
Jaguapita,2,PR,411190
Bom Retiro Do Sul,2,RS,430240
Itatim,2,BA,291685
Astolfo Dutra,2,MG,310460
Seropedica,2,RJ,330555
Cangucu,2,RS,430450
Agudos Do Sul,2,PR,410030
Sertao Santana,2,RS,432055
Tambau,2,SP,355330
Araruna,2,PR,410170
Trajano De Moraes,2,RJ,330590
Sabinopolis,2,MG,315680
Brejetuba,2,ES,320115
California,2,PR,410350
Iretama,2,PR,411080
Querencia,2,MT,510706
Juscimeira,2,MT,510520
Sericita,2,MG,316630
Juruti,2,PA,150390
Macaiba,2,RN,240710
Sao Gotardo,2,MG,316210
Aracariguama,2,SP,350275
General Carneiro,2,PR,410850
Urandi,2,BA,293260
Carolina,2,MA,210280
Machadinho D'Oeste,2,RO,110013
Agua Branca,2,PI,220020
Espigao D'Oeste,2,RO,110009
Murutinga Do Sul,2,SP,353210
Angulo,2,PR,410115
Campestre,2,MG,311100
Rubineia,2,SP,354450
Piracuruca,2,PI,220830
Indiana,2,SP,352060
Sao Jose Da Barra,2,MG,316294
Siqueira Campos,2,PR,412660
Santo Inacio,2,PR,412450
Laranjeiras,2,SE,280360
Ipojuca,2,PE,260720
Fazenda Nova,2,GO,520760
Orleans,2,SC,421170
Sarzedo,2,MG,316553
Pedregulho,2,SP,353700
Padre Bernardo,2,GO,521560
Sao Joaquim,2,SC,421650
Conceicao Do Araguaia,2,PA,150270
Limeira Do Oeste,2,MG,313862
Lourdes,2,SP,352725
Garopaba,2,SC,420570
Guabiruba,2,SC,420630
Braganca,2,PA,150170
Poco Fundo,2,MG,315170
Sao Joao De Iracema,2,SP,354925
Cardoso,2,SP,351070
Conceicao Do Rio Verde,2,MG,311770
Ametista Do Sul,2,RS,430064
Espirito Santo,2,RN,240350
Clementina,2,SP,351190
Morada Nova De Minas,2,MG,314350
Fama,2,MG,312520
Ibira,2,SP,351940
Itanhem,2,BA,291600
Cabedelo,2,PB,250320
Guaraci,2,SP,351790
Delmiro Gouveia,2,AL,270240
Santa Cruz Do Xingu,2,MT,510774
Itobi,2,SP,352380
Modelo,2,SC,421090
Trindade Do Sul,2,RS,432195
Palmeiras De Goias,2,GO,521570
Abaete,2,MG,310020
Mercedes,2,PR,411585
Itapecuru Mirim,2,MA,210540
Cacique Doble,2,RS,430320
Camamu,2,BA,290580
Extremoz,2,RN,240360
Brumadinho,2,MG,310900
Tanabi,2,SP,355340
Santa Cecilia,2,SC,421550
Castelo,2,ES,320140
Irapua,2,SP,352150
Caraubas Do Piaui,2,PI,220253
Tabapua,2,SP,355260
Palestina,2,SP,353500
Tanquinho,2,BA,293110
Kalore,2,PR,411310
Milagres,2,BA,292130
Cidade Gaucha,2,PR,410560
Cachoeira Dourada,2,MG,310980
Corrente,2,PI,220290
Rio Pomba,2,MG,315580
Ceu Azul,2,PR,410530
Eldorado Do Sul,2,RS,430676
Campo Novo,2,RS,430400
Cosmorama,2,SP,351290
Cicero Dantas,2,BA,290780
Erval Seco,2,RS,430730
Casa Nova,2,BA,290720
Nova Petropolis,2,RS,431320
Pontalina,2,GO,521770
Monte Azul,2,MG,314290
Japura,2,PR,411240
Sao Pedro Dos Ferros,2,MG,316400
Bataguassu,2,MS,500190
Bataypora,2,MS,500200
Gaspar,2,SC,420590
Marituba,2,PA,150442
Sao Desiderio,2,BA,292890
Ladario,2,MS,500520
Brejo Da Madre De Deus,2,PE,260260
Chapadao Do Ceu,2,GO,520547
Oeiras,2,PI,220700
Prata,2,MG,315280
Pindorama,2,SP,353810
Itaguaje,2,PR,411090
Juruena,2,MT,510517
Senador Guiomard,2,AC,120045
Espera Feliz,2,MG,312420
Duartina,2,SP,351450
Sertanopolis,2,PR,412650
Campos Sales,2,CE,230270
Hidrolandia,2,GO,520970
Colniza,2,MT,510325
Itajobi,2,SP,352190
Cunha,2,SP,351360
Missal,2,PR,411605
Bom Principio,2,RS,430235
Nova Independencia,2,SP,353320
Papagaios,2,MG,314690
Edeia,2,GO,520740
Perdizes,2,MG,314980
Salto Grande,2,SP,354540
Pedro Ii,2,PI,220790
Pontalinda,2,SP,354025
Pontao,2,RS,431477
Riachao Do Jacuipe,2,BA,292630
Castro Alves,2,BA,290730
Baependi,2,MG,310490
Chapada Dos Guimaraes,2,MT,510300
Bodoquena,2,MS,500215
Simonesia,2,MG,316760
Buriti Alegre,2,GO,520390
Jaboti,2,PR,411170
Itai,2,SP,352180
Chiapetta,2,RS,430540
Bocaiuva,2,MG,310730
Leopoldina,2,MG,313840
Apore,2,GO,520150
Itaqui,2,RS,431060
Porto Esperidiao,2,MT,510682
Solanea,2,PB,251600
Sao Roque De Minas,2,MG,316430
Descanso,2,SC,420490
Casca,2,RS,430490
Tapera,2,RS,432100
Paraiso Do Norte,2,PR,411800
Gloria De Dourados,2,MS,500400
Guapimirim,2,RJ,330185
Paulo De Faria,2,SP,353660
Serro,2,MG,316710
Apodi,2,RN,240100
Santa Vitoria,2,MG,315980
Altos,2,PI,220040
Taiacu,2,SP,355310
Joao Camara,2,RN,240580
Ampere,2,PR,410100
Presidente Castello Branco,2,SC,421390
Barao De Grajau,2,MA,210150
Itamarandiba,2,MG,313250
Dumont,2,SP,351460
Taiobeiras,2,MG,316800
Ceara-Mirim,2,RN,240260
Jose De Freitas,2,PI,220550
Chapadao Do Sul,2,MS,500295
Miranda,2,MS,500560
Seabra,2,BA,292990
Tupaciguara,2,MG,316960
Caetite,2,BA,290520
Sao Francisco Do Guapore,2,RO,110149
Julio De Castilhos,2,RS,431120
Ipira,2,BA,291400
Capelinha,2,MG,311230
Porto Lucena,2,RS,431500
Catigua,2,SP,351120
Tibagi,2,PR,412750
Itapora,2,MS,500450
Sao Joao Do Caiua,2,PR,412490
Trombas,2,GO,522145
Guapo,2,GO,520920
Nossa Senhora Do Socorro,2,SE,280480
Guaramirim,2,SC,420650
Peabiru,2,PR,411880
Santa Maria Do Oeste,2,PR,412385
Paracambi,2,RJ,330360
Barroso,2,MG,310590
Conchal,2,SP,351220
Mambore,2,PR,411400
Sao Domingos Do Prata,2,MG,316100
Inhapim,2,MG,313090
Holambra,2,SP,351905
Augustinopolis,2,TO,170255
Barra Da Estiva,2,BA,290280
Armacao Dos Buzios,2,RJ,330023
Mondai,2,SC,421100
Inhacora,2,RS,431041
Andrelandia,2,MG,310280
Munhoz De Melo,2,PR,411630
Paramirim,2,BA,292360
Porto Vitoria,2,PR,412030
Nova Canaa Do Norte,2,MT,510621
Erval Grande,2,RS,430720
Caetanopolis,2,MG,310990
Pacaembu,2,SP,353490
Camutanga,2,PE,260360
Mimoso Do Sul,2,ES,320340
Santa Rita De Cassia,2,BA,292840
Feliz,2,RS,430810
Sao Ludgero,2,SC,421700
Garuva,2,SC,420580
Professor Jamil,2,GO,521839
Angatuba,2,SP,350220
Cunha Pora,2,SC,420470
Nova Brasilandia D'Oeste,2,RO,110014
Perola D'Oeste,2,PR,411900
Guaranesia,2,MG,312830
Joao Neiva,2,ES,320313
Pocoes,2,BA,292510
Candelaria,2,RS,430420
Muliterno,2,RS,431262
Macaubal,2,SP,352810
Rio Grande Da Serra,2,SP,354410
Sao Francisco De Paula,2,RS,431820
Sete Quedas,2,MS,500770
Chapada,2,RS,430530
Marcelino Ramos,2,RS,431190
Candido Godoi,2,RS,430430
Leopoldo De Bulhoes,2,GO,521230
Meleiro,2,SC,421080
Ipiranga,2,PR,411050
Ico,2,CE,230540
Arambare,2,RS,430085
Taquarituba,2,SP,355380
Epitaciolandia,2,AC,120025
Monsenhor Paulo,2,MG,314260
Morro Redondo,2,RS,431245
Iacu,2,BA,291190
Nioaque,2,MS,500580
Miranorte,2,TO,171330
Santo Antonio Das Missoes,2,RS,431770
Riacho De Santana,2,BA,292640
Feliz Natal,2,MT,510370
Salgueiro,2,PE,261220
Guarai,2,TO,170930
Borborema,2,SP,350740
Santa Tereza Do Oeste,2,PR,412402
Sao Francisco,2,MG,316110
Bicas,2,MG,310690
Camapua,2,MS,500260
Ribeirao,2,PE,261180
Barao,2,RS,430165
Igaracu Do Tiete,2,SP,352000
Sao Miguel Do Iguacu,2,PR,412570
Nhandeara,2,SP,353260
Santa Salete,2,SP,354765
Sombrio,2,SC,421770
Soledade,2,RS,432080
Urussanga,2,SC,421900
Raul Soares,2,MG,315400
Sao Domingos,2,GO,521980
Alcobaca,2,BA,290080
Roca Sales,2,RS,431580
Selviria,2,MS,500780
Colinas,2,RS,430558
Feijo,2,AC,120030
Rio Azul,2,PR,412200
Santo Antonio Do Sudoeste,2,PR,412440
Ouroeste,2,SP,353475
Ouricuri,2,PE,260990
Juquitiba,2,SP,352620
Monte Santo,2,BA,292150
Silva Jardim,2,RJ,330560
Varzea Da Palma,2,MG,317080
Paraiba Do Sul,2,RJ,330370
Itaporanga,2,SP,352280
Sao Luiz Do Paraitinga,2,SP,
Bom Jesus Da Lapa,2,BA,290390
Brejo Alegre,2,SP,350775
Marechal Floriano,2,ES,320334
Sao Lourenco Da Serra,2,SP,354995
Parauna,2,GO,521640
Itapaje,2,CE,
Pombal,2,PB,251210
Anaurilandia,2,MS,500080
Saudades,2,SC,421730
Tabai,2,RS,432085
Florida,2,PR,410810
Monte Alegre De Minas,2,MG,314280
Bady Bassitt,2,SP,350460
Bambui,2,MG,310510
Ronda Alta,2,RS,431610
Barra Bonita,2,SP,350530
Inhambupe,2,BA,291370
Sao Joaquim De Bicas,2,MG,316292
Massaranduba,2,PB,250920
Tupancireta,2,RS,432220
Montividiu Do Norte,2,GO,521377
Bom Jesus Do Itabapoana,2,RJ,330060
Itatiba Do Sul,2,RS,431070
Cachoeira Alta,2,GO,520410
Mariapolis,2,SP,352890
Campo Formoso,2,BA,290600
Santo Antonio Do Caiua,2,PR,412420
Fundao,2,ES,320220
Jandaia,2,GO,521170
Imbe,2,RS,431033
Iguaracu,2,PR,411000
Conceicao Do Almeida,2,BA,290830
Areias,2,SP,350350
Mantena,2,MG,313960
Entre Rios,2,BA,291050
Horizonte,2,CE,230523
Seringueiras,2,RO,110150
Rolante,2,RS,431600
Florai,2,PR,410780
Rio Brilhante,2,MS,500720
Guararapes,2,SP,351820
Sao Luiz Do Norte,2,GO,522015
Alcantara,2,MA,210020
Grandes Rios,2,PR,410870
Coronel Bicaco,2,RS,430590
Senges,2,PR,412630
Quatro Pontes,2,PR,412085
Uruacu,2,GO,522160
Campo Ere,2,SC,420350
Vicencia,2,PE,261630
Pirenopolis,2,GO,521730
Guapiacu,2,SP,351750
Sao Jose Do Cedro,2,SC,421670
Aracoiaba Da Serra,2,SP,350290
Soledade De Minas,2,MG,316780
Viadutos,2,RS,432290
Brochier,2,RS,430265
Vista Alegre Do Alto,2,SP,355690
Porto Estrela,2,MT,510685
Santo Antonio Do Aracangua,2,SP,354805
Sao Felix Do Xingu,2,PA,150730
Matozinhos,2,MG,314110
Acreuna,2,GO,520013
Itambe,1,PE,260765
Pinhal De Sao Bento,1,PR,411925
Piratininga,1,SP,353940
Buritinopolis,1,GO,520396
Santa Teresinha,1,PB,251380
Beberibe,1,CE,230220
Esperantinopolis,1,MA,210400
Cruzeiro Do Iguacu,1,PR,410657
Catole Do Rocha,1,PB,250430
Xique-Xique,1,BA,293360
Miguel Alves,1,PI,220620
Ipora Do Oeste,1,SC,420765
Piracaia,1,SP,353860
Alto Alegre Do Maranhao,1,MA,210043
Buritizal,1,SP,350820
Sacramento,1,MG,315690
Santa Maria De Jetiba,1,ES,320455
Amargosa,1,BA,290100
Anahy,1,PR,410105
Nova Monte Verde,1,MT,510895
Palmas De Monte Alto,1,BA,292340
Raposa,1,MA,210945
Anita Garibaldi,1,SC,420100
Sao Joao Da Barra,1,RJ,330500
Pedreiras,1,MA,210820
Parai,1,RS,431400
Camanducaia,1,MG,311050
Nova Esperanca Do Sudoeste,1,PR,411695
Bom Sucesso,1,PR,410320
Taciba,1,SP,355290
Carmopolis De Minas,1,MG,311450
Itambacuri,1,MG,313270
Sao Joao Do Piaui,1,PI,221000
Ribeirao Dos Indios,1,SP,354323
Macau,1,RN,240720
Itanhanga,1,MT,510454
Ataleia,1,MG,310470
Tres Barras,1,SC,421830
Claro Dos Pocoes,1,MG,311650
Vista Gaucha,1,RS,432370
Sao Roque Do Canaa,1,ES,320495
Barra Do Mendes,1,BA,290300
Ipiranga De Goias,1,GO,521015
Chorozinho,1,CE,230395
Estiva Gerbi,1,SP,355730
Santa Terezinha,1,MT,510777
Alvorada Do Norte,1,GO,520080
Passa Tempo,1,MG,314770
Carlinda,1,MT,510279
Santana Do Ipanema,1,AL,270800
Arapua,1,PR,410165
Novo Horizonte Do Oeste,1,RO,110050
Luislandia,1,MG,313868
Paula Freitas,1,PR,411860
Santa Rita Do Pardo,1,MS,500755
Erebango,1,RS,430697
Sao Joao Do Oeste,1,SC,421625
Cambira,1,PR,410380
Jatauba,1,PE,260800
Ervalia,1,MG,312400
Mangueirinha,1,PR,411440
Paulo Bento,1,RS,431413
Cabeceiras,1,GO,520400
Marechal Deodoro,1,AL,270470
Goianesia Do Para,1,PA,150309
Porto Murtinho,1,MS,500690
Timbo Grande,1,SC,421825
Terra De Areia,1,RS,432143
Cruz Machado,1,PR,410680
Gaurama,1,RS,430870
Alpinopolis,1,MG,310190
Barao De Cotegipe,1,RS,430170
Pindare Mirim,1,MA,
Timbiras,1,MA,211210
Ibiaca,1,RS,430980
Tamandare,1,PE,261485
Montanha,1,ES,320350
Aruana,1,GO,520250
Arvorezinha,1,RS,430140
Taquarucu Do Sul,1,RS,432132
Bofete,1,SP,350690
Sao Joao Do Rio Do Peixe,1,PB,250070
Cavalcante,1,GO,520530
Caldas,1,MG,311030
Figueira,1,PR,410775
Lauro Muller,1,SC,420960
Leme Do Prado,1,MG,313835
Brasilandia Do Sul,1,PR,410337
Governador Edison Lobao,1,MA,210455
Japaraiba,1,MG,313530
Jacutinga,1,RS,431090
Jataizinho,1,PR,411270
Novo Cruzeiro,1,MG,314530
Pedro Canario,1,ES,320405
Carnaubal,1,CE,230340
Sertao,1,RS,432050
Irupi,1,ES,320265
Grupiara,1,MG,312790
Pimenta,1,MG,315050
Palmeiras,1,BA,292350
Bela Cruz,1,CE,230230
Ubaitaba,1,BA,293220
Santos Dumont,1,MG,316070
Itamaraju,1,BA,291560
Cambuci,1,RJ,330090
Estrela Velha,1,RS,430781
Santa Maria Madalena,1,RJ,330460
Santa Quiteria Do Maranhao,1,MA,211010
Peritiba,1,SC,421260
Schroeder,1,SC,421740
Japaratinga,1,AL,270360
Pains,1,MG,314650
Gramado Dos Loureiros,1,RS,430912
Sobralia,1,MG,316770
Santo Antonio Do Pinhal,1,SP,354820
Jequitinhonha,1,MG,313580
Dom Pedrito,1,RS,430660
Jequitiba,1,MG,313570
Oriente,1,SP,353410
Itaipulandia,1,PR,411095
Aguas Da Prata,1,SP,350040
Nazare,1,BA,292250
Sao Miguel Do Passa Quatro,1,GO,522026
Nazareno,1,MG,314450
Monte Negro,1,RO,110140
Silveira Martins,1,RS,432065
Tutoia,1,MA,211250
Goncalves,1,MG,312740
Corumbaiba,1,GO,520590
Coronel Barros,1,RS,430587
Lontras,1,SC,420990
Nova Ponte,1,MG,314500
Virmond,1,PR,412865
Ibitiara,1,BA,291300
Forquilhinha,1,SC,420545
Centralina,1,MG,311580
Alto Paraiso,1,RO,110040
Presidente Dutra,1,MA,210910
Lagoao,1,RS,431125
Ribeirao Grande,1,SP,354325
Senador Firmino,1,MG,316570
Sao Pedro Da Cipa,1,MT,510740
Dilermando De Aguiar,1,RS,430637
Sao Jose Do Divino,1,PI,221005
Jaguariaiva,1,PR,411200
Cacu,1,GO,520430
Igarape-Miri,1,PA,150330
Santa Gertrudes,1,SP,354670
Pejucara,1,RS,431430
Ribeira Do Pombal,1,BA,292660
Terenos,1,MS,500800
Cerejeiras,1,RO,110005
Fartura,1,SP,351540
Anicuns,1,GO,520130
Alvaro De Carvalho,1,SP,350140
Aparecida Do Rio Doce,1,GO,520145
Barra Dos Coqueiros,1,SE,280060
Alfredo Marcondes,1,SP,350080
Sede Nova,1,RS,432023
Acarau,1,CE,230020
Aracu,1,GO,520160
Sao Lourenco Do Sul,1,RS,431880
Aratiba,1,RS,430090
Tailandia,1,PA,150795
Alhandra,1,PB,250060
Alianca,1,PE,260070
Alta Floresta D'Oeste,1,RO,110001
Brejoes,1,BA,290430
Barro Duro,1,PI,220140
Arceburgo,1,MG,310410
Reginopolis,1,SP,354250
Santa Clara D'Oeste,1,SP,354610
Pontes Gestal,1,SP,354030
Acopiara,1,CE,230030
Apora,1,BA,290190
Elesbao Veloso,1,PI,220350
Caibate,1,RS,430330
Satiro Dias,1,BA,292970
Minas Novas,1,MG,314180
Juranda,1,PR,411295
Sao Bento,1,MA,211050
Natalandia,1,MG,314437
Amaralina,1,GO,520082
Itiquira,1,MT,510460
Nova Lacerda,1,MT,510618
Uirauna,1,PB,251690
Aguas De Sao Pedro,1,SP,350060
Eloi Mendes,1,MG,312360
Monteiro Lobato,1,SP,353170
Nova Santa Barbara,1,PR,411721
Lagamar,1,MG,313710
Joao Pinheiro,1,MG,313630
Pedra Do Indaia,1,MG,314890
Carmo Do Rio Claro,1,MG,311440
Serio,1,RS,432045
Mira Estrela,1,SP,353000
Cristino Castro,1,PI,220310
Ipumirim,1,SC,420770
Paraibuna,1,SP,353560
Icapui,1,CE,230535
Ritapolis,1,MG,315610
Crissiumal,1,RS,430600
Amelia Rodrigues,1,BA,290110
Lago Dos Rodrigues,1,MA,210594
Caroebe,1,RR,140023
Alfredo Vasconcelos,1,MG,310163
Santa Luzia Do Itanhy,1,SE,280630
Claudio,1,MG,311660
Pombos,1,PE,261130
Maria Helena,1,PR,411470
Quatigua,1,PR,412070
Santa Rita Do Itueto,1,MG,315950
Maurilandia,1,GO,521300
Arealva,1,SP,350340
Restinga Seca,1,RS,431550
Ponte Serrada,1,SC,421340
