Município;AIH_aprovadas
354140 PRESIDENTE PRUDENTE;2
354150 PRESIDENTE VENCESLAU;2
354160 PROMISSAO;14
354260 REGISTRO;2
354340 RIBEIRAO PRETO;11
354390 RIO CLARO;1
354520 SALTO;2
354530 SALTO DE PIRAPORA;1
354580 SANTA BARBARA D'OESTE;9
354660 SANTA FE DO SUL;2
354770 SANTO ANASTACIO;1
354780 SANTO ANDRE;21
354850 SANTOS;1
354870 SAO BERNARDO DO CAMPO;6
354880 SAO CAETANO DO SUL;3
354910 SAO JOAO DA BOA VISTA;4
354980 SAO JOSE DO RIO PRETO;31
354990 SAO JOSE DOS CAMPOS;12
355020 SAO MIGUEL ARCANJO;1
355030 SAO PAULO;134
355040 SAO PEDRO;1
355100 SAO VICENTE;3
355150 SERRANA;4
355210 SOCORRO;1
355220 SOROCABA;18
355240 SUMARE;9
355250 SUZANO;1
355280 TABOAO DA SERRA;12
355370 TAQUARITINGA;5
355400 TATUI;1
355410 TAUBATE;4
355540 UBATUBA;1
410140 APUCARANA;7
410180 ARAUCARIA;1
410200 ASSIS CHATEAUBRIAND;6
410210 ASTORGA;1
410240 BANDEIRANTES;1
410400 CAMPINA GRANDE DO SUL;2
410420 CAMPO LARGO;4
410430 CAMPO MOURAO;2
410480 CASCAVEL;2
410550 CIANORTE;8
410590 COLORADO;2
410630 CORBELIA;4
410690 CURITIBA;68
410830 FOZ DO IGUACU;3
410840 FRANCISCO BELTRAO;10
410860 GOIOERE;3
410940 GUARAPUAVA;1
411070 IRATI;1
411200 JAGUARIAIVA;3
411350 LOANDA;3
411370 LONDRINA;13
411520 MARINGA;1
411580 MEDIANEIRA;5
411670 NOVA AURORA;1
411770 PALMEIRA;1
411790 PALOTINA;2
411820 PARANAGUA;5
411840 PARANAVAI;2
411850 PATO BRANCO;2
411990 PONTA GROSSA;6
412240 ROLANDIA;3
412350 SANTA HELENA;2
412550 SAO JOSE DOS PINHAIS;1
412625 SARANDI;1
412770 TOLEDO;8
412810 UMUARAMA;13
412820 UNIAO DA VITORIA;2
420010 ABELARDO LUZ;8
420127 ARABUTA;1
420140 ARARANGUA;2
420230 BIGUACU;3
420240 BLUMENAU;16
420280 BRACO DO NORTE;9
420290 BRUSQUE;3
420300 CACADOR;1
420360 CAMPOS NOVOS;8
420390 CAPINZAL;5
420420 CHAPECO;3
420430 CONCORDIA;2
420460 CRICIUMA;2
420470 CUNHA PORA;2
420480 CURITIBANOS;6
420490 DESCANSO;2
420540 FLORIANOPOLIS;18
420550 FRAIBURGO;8
420640 GUARACIABA;1
420690 IBIRAMA;1
420700 ICARA;6
420730 IMBITUBA;2
420750 INDAIAL;1
420765 IPORA DO OESTE;5
420820 ITAJAI;5
420830 ITAPEMA;3
420840 ITAPIRANGA;13
420850 ITUPORANGA;1
420890 JARAGUA DO SUL;9
420900 JOACABA;3
420910 JOINVILLE;8
421003 LUZERNA;11
421050 MARAVILHA;2
421080 MELEIRO;4
421140 NOVA ERECHIM;6
421150 NOVA TRENTO;3
421160 NOVA VENEZA;1
421210 PALMITOS;4
421290 PINHALZINHO;5
421320 POMERODE;2
421360 PORTO UNIAO;1
421380 PRAIA GRANDE;11
421400 PRESIDENTE GETULIO;2
421480 RIO DO SUL;2
421570 SANTO AMARO DA IMPERATRIZ;1
421580 SAO BENTO DO SUL;3
421600 SAO CARLOS;10
421625 SAO JOAO DO OESTE;2
421630 SAO JOAO BATISTA;1
421660 SAO JOSE;1
421670 SAO JOSE DO CEDRO;4
421720 SAO MIGUEL DO OESTE;2
421750 SEARA;2
421810 TIMBE DO SUL;8
421820 TIMBO;3
421870 TUBARAO;3
421900 URUSSANGA;5
421930 VIDEIRA;1
421950 XANXERE;1
430030 ALECRIM;1
430040 ALEGRETE;2
430100 ARROIO DO MEIO;8
430140 ARVOREZINHA;1
430160 BAGE;3
430210 BENTO GONCALVES;1
430350 CAMAQUA;2
430390 CAMPO BOM;6
430440 CANELA;2
430460 CANOAS;12
430463 CAPAO DA CANOA;5
430470 CARAZINHO;1
430510 CAXIAS DO SUL;14
430600 CRISSIUMAL;4
430610 CRUZ ALTA;1
430680 ENCANTADO;1
430700 ERECHIM;4
430770 ESTEIO;2
430790 FARROUPILHA;8
430800 FAXINAL DO SOTURNO;1
430860 GARIBALDI;2
430910 GRAMADO;14
430920 GRAVATAI;7
430940 GUAPORE;3
431130 LAGOA VERMELHA;1
431140 LAJEADO;2
431240 MONTENEGRO;1
431270 NONOAI;1
431330 NOVA PRATA;2
431350 OSORIO;1
431370 PALMEIRA DAS MISSOES;3
431390 PANAMBI;2
431405 PAROBE;3
431410 PASSO FUNDO;9
431440 PELOTAS;2
431490 PORTO ALEGRE;44
431560 RIO GRANDE;4
431570 RIO PARDO;1
431590 RODEIO BONITO;10
431600 ROLANTE;7
431610 RONDA ALTA;3
431680 SANTA CRUZ DO SUL;7
431690 SANTA MARIA;12
431730 SANTA VITORIA DO PALMAR;2
431800 SAO BORJA;2
431830 SAO GABRIEL;2
431840 SAO JERONIMO;1
431870 SAO LEOPOLDO;2
431880 SAO LOURENCO DO SUL;1
431890 SAO LUIZ GONZAGA;1
431900 SAO MARCOS;1
431950 SAO SEBASTIAO DO CAI;4
431990 SAPIRANGA;3
432000 SAPUCAIA DO SUL;1
432010 SARANDI;2
432080 SOLEDADE;1
432140 TENENTE PORTELA;3
432145 TEUTONIA;3
432150 TORRES;4
432160 TRAMANDAI;1
432180 TRES DE MAIO;1
432190 TRES PASSOS;1
432250 VACARIA;7
432260 VENANCIO AIRES;5
432280 VERANOPOLIS;4
432300 VIAMAO;2
500060 AMAMBAI;3
500110 AQUIDAUANA;1
500190 BATAGUASSU;2
500270 CAMPO GRANDE;23
500320 CORUMBA;1
500370 DOURADOS;6
500630 PARANAIBA;3
500660 PONTA PORA;1
500830 TRES LAGOAS;5
510025 ALTA FLORESTA;1
510130 ARENAPOLIS;1
510250 CACERES;2
510263 CAMPO NOVO DO PARECIS;1
510325 COLNIZA;1
510340 CUIABA;11
510510 JUARA;1
510675 PONTES E LACERDA;1
510704 PRIMAVERA DO LESTE;4
510760 RONDONOPOLIS;7
510792 SORRISO;5
510840 VARZEA GRANDE;22
520110 ANAPOLIS;2
520140 APARECIDA DE GOIANIA;11
520510 CATALAO;1
520800 FORMOSA;4
520870 GOIANIA;119
521150 ITUMBIARA;2
521180 JARAGUA;1
521190 JATAI;1
521880 RIO VERDE;2
521930 SANTA HELENA DE GOIAS;2
522010 SAO LUIS DE MONTES BELOS;3
522160 URUACU;5
530010 BRASILIA;71
Total;3005
